timestamp,source,feedback_text
"2025-03-27T15:24:10",Twitter,"This process is too confusing and needs to be streamlined."
"2025-02-18T20:54:47",Email,"My family loved the library event last weekend."
"2025-06-11T16:20:54",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-04-22T19:32:44",Twitter,"The library is looking beautiful this spring! Great job by the maintenance team."
"2025-04-14T18:15:04",Twitter,"When will the traffic light on Oak Street be repaired? It's a safety hazard."
"2025-04-08T05:09:17",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-06-22T10:10:22",Facebook,"I'm very disappointed with the lack of response to my issue."
"2025-01-20T09:39:18",Facebook,"When will the crosswalk on Oak Street be repaired? It's a safety hazard."
"2025-02-24T15:44:28",Twitter,"The city staff I spoke with was very helpful."
"2025-03-13T21:44:26",311-App,"Just wanted to say thank you for the excellent service."
"2025-04-14T00:33:58",311-App,"When will the road on Oak Street be repaired? It's a safety hazard."
"2025-04-03T02:57:01",Email,"I have a question about my utility bill."
"2025-02-25T15:04:16",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-01-11T05:28:52",Email,"This process is too confusing and needs to be streamlined."
"2025-05-16T14:20:09",Facebook,"Just wanted to say thank you for the excellent service."
"2025-06-25T11:29:10",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-05-29T23:41:26",Twitter,"My street sweeping was missed again this week on Elm Street."
"2025-03-15T14:00:49",Email,"The recycling team left a huge mess on the curb."
"2025-03-19T12:50:48",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-01-16T04:40:27",Facebook,"The park is looking beautiful this spring! Great job by the maintenance team."
"2025-06-08T22:19:49",Facebook,"There's a massive crosswalk on Maple Ave that needs fixing immediately."
"2025-06-07T02:59:49",Email,"The city staff I spoke with was very helpful."
"2025-06-09T01:46:39",Email,"I'm very disappointed with the lack of response to my issue."
"2025-06-20T19:12:21",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-06-24T07:38:41",311-App,"This process is too confusing and needs to be streamlined."
"2025-05-20T02:01:46",311-App,"When will the pothole on Oak Street be repaired? It's a safety hazard."
"2025-04-08T14:32:40",Facebook,"There's a massive road on Maple Ave that needs fixing immediately."
"2025-05-03T18:59:34",Twitter,"The city staff I spoke with was very helpful."
"2025-05-07T01:24:48",Facebook,"This process is too confusing and needs to be streamlined."
"2025-04-22T05:26:26",Email,"The road at 1st and Main is still broken, causing huge delays."
"2025-01-14T14:51:57",Email,"This process is too confusing and needs to be streamlined."
"2025-05-21T20:54:33",Email,"Just wanted to say thank you for the excellent service."
"2025-06-02T00:58:51",311-App,"Just wanted to say thank you for the excellent service."
"2025-03-27T20:24:14",Twitter,"When will the pothole on Oak Street be repaired? It's a safety hazard."
"2025-01-09T10:28:52",Twitter,"Why was my street sweeping request denied?"
"2025-03-02T12:11:12",Twitter,"When will the traffic light on Oak Street be repaired? It's a safety hazard."
"2025-05-22T03:49:02",Email,"The recycling team left a huge mess on the curb."
"2025-02-20T07:30:40",Facebook,"The city staff I spoke with was very helpful."
"2025-02-03T23:52:29",Email,"Just wanted to say thank you for the excellent service."
"2025-05-11T00:34:19",Twitter,"The city staff I spoke with was very helpful."
"2025-05-20T17:03:01",Facebook,"Requesting information on an upcoming city project."
"2025-04-12T15:20:56",Facebook,"There's a massive crosswalk on Maple Ave that needs fixing immediately."
"2025-06-22T00:55:54",311-App,"My bulk pickup was missed again this week on Elm Street."
"2025-04-28T05:47:44",Facebook,"This process is too confusing and needs to be streamlined."
"2025-05-24T10:33:23",311-App,"The street sign at 1st and Main is still broken, causing huge delays."
"2025-02-08T00:51:02",311-App,"I have a question about my utility bill."
"2025-06-10T11:21:57",Twitter,"When will the road on Oak Street be repaired? It's a safety hazard."
"2025-02-09T09:19:50",Email,"The pothole at 1st and Main is still broken, causing huge delays."
"2025-01-29T04:36:13",Email,"Just wanted to say thank you for the excellent service."
"2025-04-27T07:44:42",Twitter,"My family loved the playground event last weekend."
"2025-02-19T00:59:21",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-04-28T08:16:25",Email,"This process is too confusing and needs to be streamlined."
"2025-04-13T17:04:36",Email,"The recycling team left a huge mess on the curb."
"2025-02-12T08:45:14",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-05-08T19:41:49",311-App,"The recycling team left a huge mess on the curb."
"2025-03-02T21:07:33",Facebook,"This process is too confusing and needs to be streamlined."
"2025-04-21T04:55:18",Facebook,"My trash was missed again this week on Elm Street."
"2025-04-26T11:12:29",Facebook,"The traffic light at 1st and Main is still broken, causing huge delays."
"2025-05-25T04:23:58",Twitter,"There's a massive crosswalk on Maple Ave that needs fixing immediately."
"2025-03-19T04:21:33",311-App,"The new online system for the park is a fantastic improvement."
"2025-05-13T02:32:20",Email,"This process is too confusing and needs to be streamlined."
"2025-04-02T08:19:24",Email,"I'm very disappointed with the lack of response to my issue."
"2025-01-18T23:13:11",Email,"The park is looking beautiful this spring! Great job by the maintenance team."
"2025-03-24T04:54:27",Facebook,"This process is too confusing and needs to be streamlined."
"2025-01-22T10:28:32",Facebook,"This process is too confusing and needs to be streamlined."
"2025-05-19T01:59:44",Facebook,"My family loved the community center event last weekend."
"2025-05-24T03:15:44",Twitter,"Why was my trash request denied?"
"2025-01-16T02:55:41",Email,"The playground is looking beautiful this spring! Great job by the maintenance team."
"2025-03-22T22:32:42",Twitter,"When will the crosswalk on Oak Street be repaired? It's a safety hazard."
"2025-03-10T03:16:08",Facebook,"The new online system for the summer program is a fantastic improvement."
"2025-01-02T13:57:14",311-App,"The new online system for the playground is a fantastic improvement."
"2025-01-28T14:37:06",311-App,"My recycling was missed again this week on Elm Street."
"2025-05-09T06:51:17",Facebook,"There's a massive crosswalk on Maple Ave that needs fixing immediately."
"2025-01-15T04:30:34",Email,"Just wanted to say thank you for the excellent service."
"2025-06-16T18:43:33",Email,"Why was my bulk pickup request denied?"
"2025-03-06T23:21:40",311-App,"The city staff I spoke with was very helpful."
"2025-01-21T04:03:11",311-App,"Why was my bulk pickup request denied?"
"2025-03-09T01:45:12",Facebook,"The city staff I spoke with was very helpful."
"2025-06-06T08:29:32",311-App,"The community center is looking beautiful this spring! Great job by the maintenance team."
"2025-06-27T18:52:37",Email,"There's a massive road on Maple Ave that needs fixing immediately."
"2025-02-12T18:42:07",Email,"The city staff I spoke with was very helpful."
"2025-02-02T20:25:33",Twitter,"The park is looking beautiful this spring! Great job by the maintenance team."
"2025-05-23T00:28:21",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-01-31T02:08:56",Email,"The summer program is looking beautiful this spring! Great job by the maintenance team."
"2025-04-20T06:55:31",Email,"I'm very disappointed with the lack of response to my issue."
"2025-01-20T18:00:33",Email,"Just wanted to say thank you for the excellent service."
"2025-02-18T03:45:47",Email,"Just wanted to say thank you for the excellent service."
"2025-06-29T19:18:10",Email,"This process is too confusing and needs to be streamlined."
"2025-05-31T17:09:29",311-App,"I have a question about my utility bill."
"2025-06-17T21:38:01",311-App,"The new online system for the community center is a fantastic improvement."
"2025-04-07T13:41:00",Twitter,"The street sign at 1st and Main is still broken, causing huge delays."
"2025-06-02T00:24:31",311-App,"I'm very disappointed with the lack of response to my issue."
"2025-04-28T13:39:48",Twitter,"Just wanted to say thank you for the excellent service."
"2025-02-04T17:45:50",Twitter,"The new online system for the summer program is a fantastic improvement."
"2025-04-01T07:20:36",Email,"This process is too confusing and needs to be streamlined."
"2025-03-18T18:06:13",Facebook,"Why was my street sweeping request denied?"
"2025-06-21T22:11:32",Twitter,"I'm very disappointed with the lack of response to my issue."
"2025-05-13T10:53:43",Facebook,"I'm very disappointed with the lack of response to my issue."
"2025-04-24T03:41:34",Facebook,"Just wanted to say thank you for the excellent service."
"2025-06-30T09:56:59",Email,"Just wanted to say thank you for the excellent service."
"2025-04-12T03:05:59",Twitter,"The city staff I spoke with was very helpful."
"2025-01-22T04:09:50",311-App,"Just wanted to say thank you for the excellent service."
"2025-02-13T13:15:29",Facebook,"Just wanted to say thank you for the excellent service."
"2025-01-30T04:28:08",Email,"The street sign at 1st and Main is still broken, causing huge delays."
"2025-01-04T09:41:31",Twitter,"Just wanted to say thank you for the excellent service."
"2025-05-21T13:15:16",Twitter,"The city staff I spoke with was very helpful."
